company,raw_label,normalized_label,office_url,source,discovered_at
Pegatron,"Jeffersonville, IN",jeffersonville in,"https://www.glassdoor.com/Location/All-Pegatron-Jeffersonville-Office-Locations-EI_IE337948.4,12_IL.13,27_IC1145141.htm",office-location,2026-06-28T06:53:48.103040+00:00
Trend Micro Inc.,"Austin, TX",austin tx,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Austin-Office-Locations-EI_IE8983.4,19_IL.20,26_IC1139761.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Irving, TX",irving tx,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Irving-Office-Locations-EI_IE8983.4,19_IL.20,26_IC1140006.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Jersey City, NJ",jersey city nj,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Jersey-City-Office-Locations-EI_IE8983.4,19_IL.20,31_IC1126819.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Kanata, ON",kanata on,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Kanata-Office-Locations-EI_IE8983.4,19_IL.20,26_IC2282818.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"San Jose, CA",san jose,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-San-Jose-Office-Locations-EI_IE8983.4,19_IL.20,28_IC1147436.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Toronto, ON",toronto on,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Toronto-Office-Locations-EI_IE8983.4,19_IL.20,27_IC2281069.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Cork, M",cork m,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Cork-Office-Locations-EI_IE8983.4,19_IL.20,24_IC4325638.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"London, ENG",london eng,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-London-Office-Locations-EI_IE8983.4,19_IL.20,26_IC2671300.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Munich, BY",munich by,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Munich-Office-Locations-EI_IE8983.4,19_IL.20,26_IC4990924.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Paddington, ENG",paddington eng,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Paddington-Office-Locations-EI_IE8983.4,19_IL.20,30_IC3527325.htm",office-location,2026-06-28T06:54:01.138141+00:00
Trend Micro Inc.,"Tokyo, 40",tokyo 40,"https://www.glassdoor.com/Location/All-Trend-Micro-Inc-Tokyo-Office-Locations-EI_IE8983.4,19_IL.20,25_IC2851580.htm",office-location,2026-06-28T06:54:01.138141+00:00
Dell Technologies,"Aliso, CA",aliso ca,"https://www.glassdoor.com/Location/All-Dell-Technologies-Aliso-Office-Locations-EI_IE1327.4,21_IL.22,27_IC3789361.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Austin, TX",austin tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-Austin-Office-Locations-EI_IE1327.4,21_IL.22,28_IC1139761.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Bedford, MA",bedford ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Bedford-Office-Locations-EI_IE1327.4,21_IL.22,29_IC1154527.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Boston, MA",boston ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Boston-Office-Locations-EI_IE1327.4,21_IL.22,28_IC1154532.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Boydton, VA",boydton va,"https://www.glassdoor.com/Location/All-Dell-Technologies-Boydton-Office-Locations-EI_IE1327.4,21_IL.22,29_IC1129623.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Cambridge, MA",cambridge ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Cambridge-Office-Locations-EI_IE1327.4,21_IL.22,31_IC1154545.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Canada, KY",canada ky,"https://www.glassdoor.com/Location/All-Dell-Technologies-Canada-Office-Locations-EI_IE1327.4,21_IL.22,28_IC1137126.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Canton, MA",canton ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Canton-Office-Locations-EI_IE1327.4,21_IL.22,28_IC1154546.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Cedar Park, TX",cedar park tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-Cedar-Park-Office-Locations-EI_IE1327.4,21_IL.22,32_IC1139765.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Framingham, MA",framingham ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Framingham-Office-Locations-EI_IE1327.4,21_IL.22,32_IC1154571.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Franklin, MA",franklin ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Franklin-Office-Locations-EI_IE1327.4,21_IL.22,30_IC1154572.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Fuquay-Varina, NC",fuquay varina nc,"https://www.glassdoor.com/Location/All-Dell-Technologies-Fuquay-Varina-Office-Locations-EI_IE1327.4,21_IL.22,35_IC3757296.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Georgetown, TX",georgetown tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-Georgetown-Office-Locations-EI_IE1327.4,21_IL.22,32_IC1139774.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Hopkinton, MA",hopkinton ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Hopkinton-Office-Locations-EI_IE1327.4,21_IL.22,31_IC1154589.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"India, TX",india tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-India-Office-Locations-EI_IE1327.4,21_IL.22,27_IC3759223.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Land O' Lakes, FL",land o lakes fl,"https://www.glassdoor.com/Location/All-Dell-Technologies-Land-O-Lakes-Office-Locations-EI_IE1327.4,21_IL.22,34_IC3817049.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Leander, TX",leander tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-Leander-Office-Locations-EI_IE1327.4,21_IL.22,29_IC1139779.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Pflugerville, TX",pflugerville tx,"https://www.glassdoor.com/Location/All-Dell-Technologies-Pflugerville-Office-Locations-EI_IE1327.4,21_IL.22,34_IC1139790.htm",office-location,2026-06-28T06:54:04.144299+00:00
Dell Technologies,"Quincy, MA",quincy ma,"https://www.glassdoor.com/Location/All-Dell-Technologies-Quincy-Office-Locations-EI_IE1327.4,21_IL.22,28_IC1154667.htm",office-location,2026-06-28T06:54:04.144299+00:00
